paso,wape_modelo,wape_ingenuo
1,9.775958257543717,29.879593268000594
2,11.480585730212562,30.406806661327234
3,11.59658131179071,29.431037763899706
4,12.411356740508191,29.102931459060063
5,12.420916113501523,29.27231190538766
6,13.583055299114005,29.619914493640525
7,13.816772747968669,29.412601700169095
8,14.584819509638503,29.251067453956757
9,15.110235609434627,29.095588370140863
10,15.80692970781023,29.298987319539847
11,16.816993987515904,28.826813876780772
12,17.269111978016788,28.807652904440772
13,17.877344909121163,29.173693705615374
14,17.852552413462018,28.903331539697735
15,18.38616385509421,29.43098995087206
16,18.48665481210811,29.1093079921365
17,18.786186950897,29.21294615668375
18,18.921872675372263,29.287975083150002
19,19.063491139117595,29.222243136529677
20,19.436138185702745,29.087962711741326
21,19.496591991395025,28.926976961732137
22,19.9007638987173,29.117514251158603
23,20.243559604374504,28.82042720783788
24,20.256573384485662,28.914080009376487
25,20.327414309880915,29.328402707768532
26,21.272706341758887,30.00129574312844
27,21.18535398163611,29.129191152044296
28,20.60084333020551,28.773111887939702
29,20.950469673425296,28.954939473721613
30,20.825356982968163,29.246790658761864
31,21.000175388557405,29.147075386326797
32,21.035636433164303,29.019983112317174
33,21.17486173098616,28.816310140732423
34,21.447035707050514,29.161780800374583
35,21.821955847543506,28.662169902149678
36,21.948111358986246,28.562442030169795
37,22.192597446266138,28.780304064143156
38,22.030284157289426,28.425774482699794
39,22.021401023768576,28.96709595762149
40,22.23365936594049,28.660566973697712
41,22.423860231122262,28.758060376843734
42,22.710002743311012,28.890776630314278
43,22.67623784557486,28.7403122894945
44,23.213790199937154,28.857262386986893
45,23.07507473392461,28.55587480836951
46,23.306059705118535,28.86723967265027
47,23.515468765661648,28.515569786659473
48,23.612540221839193,28.59254650086686
49,23.48654671767099,28.85669171703562
50,23.930269645400564,29.518694266740233
51,24.021857221487732,28.680441733642386
52,23.456599073204355,28.522908939218894
53,23.802511980745273,28.8129104067542
54,23.622336579977723,29.196866006227594
55,23.58853623841763,28.89966367805667
56,23.929829068094378,28.7842317651978
57,23.76475161146372,28.598618717172283
58,24.01426032437238,29.052683311795004
59,24.366849370782692,28.48350902629016
60,24.43115284710981,28.32606386650462
61,24.458317454080106,28.52619357115031
62,24.196350597066164,28.269834047558277
63,24.14245234664173,28.870888995003817
64,24.3041405079221,28.74122824061135
65,24.361685427968176,28.763738630494057
66,24.45785002296324,28.71076755522463
67,24.507319507546534,28.70381756507537
68,24.50958860142264,28.82882601623143
69,24.58920571939835,28.653728560793027
70,24.4072744350985,29.099410239798278
71,24.8436000200268,28.75638928881135
72,24.416217345870173,28.913639200721178
73,24.60943069434907,29.12268147760496
74,24.929597504987893,29.77224342358069
75,24.8829551685223,28.901008968005392
76,24.372371440037348,28.70758616205775
77,24.7693592615407,29.035030800460657
78,24.513467901956858,29.421986703244098
79,24.346129568679427,29.110554885481303
80,24.620858873678035,29.1024056322113
81,24.448086316312647,28.784322429367023
82,24.93765728092862,29.315436333619413
83,25.039534950156064,28.89443584080223
84,25.233014199313022,28.749161217021378
85,25.243075479521323,28.970150703434946
86,25.075388745852905,28.638048868959533
87,24.933869492845172,29.39325428289208
88,24.964984518932003,29.158074653220197
89,24.928558500217704,29.123445147513902
90,24.88436041107218,29.134852025308472
91,25.083267758368805,29.187368107867268
92,24.72566507682335,29.33193424667002
93,24.81425835329992,29.254243110502113
94,24.779065044931635,29.87134409855392
95,25.06410116841127,29.514895134659973
96,24.711079940741396,29.732324064982553
97,24.640656004515613,29.886009172420643
98,24.95881835603125,30.537280821150784
99,24.753547329413074,29.694886908638896
100,24.737991644537026,29.601931812537163
101,24.985090762237977,29.815255601931796
102,24.836491498252972,30.283477335476935
103,24.890080204524025,30.05809013350902
104,24.94313842674758,30.107587967747758
105,24.824210095689082,29.85902615448557
106,25.031090201890287,30.548495679553522
107,25.317180368235487,30.066851119129414
108,25.471578490913437,29.92897601991163
109,25.47436507367205,30.301288156310587
110,25.11898213783749,29.865340092149935
111,24.981846376009802,30.534576747079214
112,25.1316116590522,30.38950418193618
113,25.313515149454847,30.441797670811262
114,25.445808803207814,30.541953845940817
115,25.46735054921985,30.72133904537922
116,25.41586750037414,31.025214033520754
117,25.302911073391783,30.909315676345585
118,25.555477271299115,31.58606326884056
119,25.80508565913545,31.291343668097884
120,25.394624490026686,31.504501787432872
121,25.42786448601427,31.54111962208923
122,25.732240071422915,32.166003428472514
123,25.574900942352063,31.313885936931143
124,25.54539162787821,31.198494842101592
125,25.88573313353774,31.490498399701828
126,25.691928625465653,32.0517558561075
127,25.66390218755106,31.862784398785312
128,26.074575552211176,31.950183599456857
129,25.803204444148488,31.73946136208135
130,26.009064925491987,32.269041048733406
131,25.939640047282243,32.0947279809205
132,26.140513025020738,31.92942702044541
133,26.17958623995556,32.36463726812212
134,25.8720107149406,31.954189647383803
135,26.261651515291945,32.74347130173345
136,26.291786542069506,32.57953821856622
137,26.462163393489895,32.56209950166142
138,26.731866533633532,32.56131802971757
139,26.76423372855692,32.77115832858946
140,27.07709299893746,33.301485639773524
141,26.973888477106918,32.994594752617274
142,27.12605963270301,33.593111048856194
143,27.321948240807316,33.17442748994978
144,26.981223489257836,33.386231247783925
