paso,wape_modelo,wape_ingenuo
1,10.357938993307634,27.488385012875415
2,11.962309091427384,26.93403622343557
3,11.353969680928639,26.501147514040063
4,12.88917793680833,25.934414140973846
5,12.679240250184206,25.556923153975646
6,13.621115489103726,26.342439773649403
7,13.964545895807136,26.38069397765567
8,13.995185936990811,26.069665825065474
9,14.49271898877244,25.559908893499113
10,14.603903457664462,24.719488918640447
11,14.732884192766063,26.398418748121387
12,14.455900390227479,25.463637383549752
13,15.814109044511538,27.085076132145403
14,14.792142014262998,24.217337370767595
15,15.840619734643479,24.997831414377753
16,16.187629933904446,25.669336891298858
17,16.55658942715187,25.3406603090334
18,16.65246428999645,25.20634862830393
19,17.33616854620864,26.004939440831286
20,17.671848935148727,24.933832359401386
21,17.73449334657839,25.768134152616973
22,17.346941605451903,25.88052309564475
23,17.416975039024855,26.28474783540353
24,17.13066556993122,26.7074220057236
25,17.477218302540344,26.76823400360634
26,18.057444338118945,26.262436834903582
27,17.909140584488192,25.519091249973574
28,19.120174493512064,26.667489968003707
29,19.43387644764213,25.498957810309378
30,21.13697122624387,26.08459673012665
31,21.20095850767948,25.619413228275654
32,22.788350212910448,26.404525357656006
33,22.432061622078248,25.94712732964626
34,23.332115472467592,26.565093128796484
35,23.33523264890436,25.969594562756786
36,23.886870652923783,24.529402580242632
37,24.410221984109103,25.503076056822362
38,25.082189422986225,25.493482524093356
39,24.726145928647245,25.214010265671217
40,25.245180130054045,26.25273297735169
41,25.400651450262103,28.60387041886812
42,26.99210539963531,29.323807721498312
43,26.737445726350263,29.055680688306108
44,27.22255327443808,29.548018578568996
45,27.009375561680905,29.568378296293538
46,27.331997418245074,30.079777885376267
47,27.578593377841134,30.083114591632466
48,27.686337760513823,30.098056031216167
49,27.171934451753334,30.894030196706705
50,27.288027784730104,32.44122296986145
51,27.590752399987814,31.652911913764218
52,26.487195422452828,31.82432830933135
53,26.65171710595764,31.257883140679976
54,25.867535458286355,31.201236758966445
55,25.166208249091262,30.597294712891102
56,24.713074309831118,30.086385577301353
57,24.761629387269327,29.801849726341576
58,24.713653400299986,30.46644735725971
59,25.17714475979536,28.720759400132604
60,24.97621609611796,29.591058689495505
61,24.1643659270434,29.087877785943622
62,24.340239288552468,29.35337007266407
63,24.09297179351181,29.396950304746557
64,24.443848373405576,29.636065479322916
65,24.571191581228156,29.542873259413064
66,24.47387733125143,29.718717730080424
67,24.001813277824525,28.61042643308069
68,24.37697255321943,29.28636771062559
69,24.034387835294524,28.822098512592298
70,24.12762024218323,28.15675869719599
71,25.814006371643806,28.611503239903133
72,24.61279592399868,27.776852098294775
73,23.956735208792132,28.630498386115676
74,24.62294279545194,28.54765437267414
75,24.42875795304897,27.655732716672272
76,23.350177306407893,26.75375988705243
77,24.662304719865023,29.384045459980662
78,24.47635195200611,28.80213068809052
79,24.39120689698012,28.881079674009538
80,24.245574625042156,29.255733473431036
81,24.60208087211812,28.28036065358276
82,25.012228016263535,28.42209497511776
83,25.800352476137476,28.678548327646528
84,26.15589237377502,29.41964904011407
85,26.63412141515812,30.06763718885954
86,27.925391455163414,30.563709604759815
87,28.807034533349256,33.18541465301879
88,28.962787035272633,31.64048851799916
89,27.903403490508545,29.665404052520753
90,27.74187911738394,29.44772664758336
91,28.13244802788248,30.386792237919135
92,27.559690692495405,29.460672242226163
93,28.298965050046863,28.79758939714508
94,28.330504616288295,30.319759248709087
95,27.687955352991544,29.057637963144913
96,27.846300088069626,29.55115746002772
97,27.57482768054374,28.726447512272706
98,28.951456034015344,31.1364027251734
99,29.09718872066636,29.673474680811633
100,28.748680178152174,29.171068525295937
101,28.692330205473265,28.66079059206861
102,28.35713095943372,29.080801841660993
103,28.366989331663962,28.733826123744233
104,28.344975609368355,28.888271692064574
105,28.697808911171872,28.715519222162595
106,29.123827416913556,30.97919989480548
107,30.051306282822274,31.256693723129455
108,29.800875623302932,30.965227275384027
109,27.702546561133403,29.401351790186204
110,25.853916514626263,28.64095612397268
111,25.01849948499404,28.04883457622274
112,24.118783714857575,27.461195895955413
113,24.87230925660928,28.344731312533188
114,24.573885046189492,27.829564228054863
115,25.683920292765947,27.489683500646752
116,25.604346249360344,29.083033383775486
117,25.35518807225288,28.685201636358972
118,24.794550324339625,29.373053344846877
119,24.72896041933377,28.82409595067783
120,24.054945217610744,29.376378944505976
121,25.47896517677811,29.72578452727095
122,23.718330128619982,29.23306262960134
123,23.88383180835802,28.95914640814081
124,24.72537571966292,29.41454027528048
125,24.644886715316456,29.823891692088136
126,24.419874342703274,32.22147869822659
127,24.041551625994167,32.31703435261238
128,23.888849712260125,31.778303817341584
129,24.158896938947915,32.98071577632891
130,24.262325067327236,32.78069579132026
131,23.109151811507257,31.823810144359012
132,24.09081900306332,31.407120751613643
133,25.267746130454167,32.98724556395166
134,22.734546879761368,32.081037131622814
135,22.30918925243525,32.78543229819929
136,21.955996546176934,34.004925314375555
137,22.29081647411036,34.90192418907805
138,22.09319315795102,35.09496540835334
139,21.857065960312383,36.06362625910725
140,21.951144569426102,36.6467819225362
141,21.275542764122676,36.95659106217673
142,21.19728510502773,36.965344535205276
143,21.04717274694433,36.46969415628543
144,19.98736998723691,37.117027249797275
