bloque,ts,variable,valor,origen,version,calidad
B10_ARQ,2026-08-31 22:30:00,activepower,10380.698,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 22:40:00,activepower,10296.556,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 22:50:00,activepower,10262.418,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 23:00:00,activepower,10132.712,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 23:10:00,activepower,10228.664,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 23:20:00,activepower,9947.658,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 23:30:00,activepower,9802.818,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 23:40:00,activepower,9608.126,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 23:50:00,activepower,9536.48,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 00:00:00,activepower,9421.068,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 00:10:00,activepower,9504.44,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 00:20:00,activepower,9306.762,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 00:30:00,activepower,9243.024,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 00:40:00,activepower,8966.278,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 00:50:00,activepower,8914.011,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 01:00:00,activepower,8892.6455,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 01:10:00,activepower,9027.793,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 01:20:00,activepower,8722.68,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
