bloque,ts,variable,valor
B10_ARQ,2026-08-30 08:00:00,activepower,5240.1
B10_ARQ,2026-08-30 08:10:00,activepower,4668.25
B10_ARQ,2026-08-30 08:20:00,activepower,5360.1
B10_ARQ,2026-08-30 08:30:00,activepower,4628.15
B10_ARQ,2026-08-30 08:40:00,activepower,4907.3
B10_ARQ,2026-08-30 08:50:00,activepower,4310.8
B10_ARQ,2026-08-30 09:00:00,activepower,4342.6
B10_ARQ,2026-08-30 09:10:00,activepower,3935.45
B10_ARQ,2026-08-30 09:20:00,activepower,4433.6
B10_ARQ,2026-08-30 09:30:00,activepower,3727.95
B10_ARQ,2026-08-30 09:40:00,activepower,3484.8
B10_ARQ,2026-08-30 09:50:00,activepower,3385.55
B10_ARQ,2026-08-30 10:00:00,activepower,4845.9
B10_ARQ,2026-08-30 10:10:00,activepower,3962.7
B10_ARQ,2026-08-30 10:20:00,activepower,4059.15
B10_ARQ,2026-08-30 10:30:00,activepower,4618.5
B10_ARQ,2026-08-30 10:40:00,activepower,5454.7
B10_ARQ,2026-08-30 10:50:00,activepower,4451.799999999999
B10_ARQ,2026-08-30 11:00:00,activepower,4329.9
B10_ARQ,2026-08-30 11:10:00,activepower,3205.3
B10_ARQ,2026-08-30 11:20:00,activepower,3714.45
B10_ARQ,2026-08-30 11:30:00,activepower,4006.7
B10_ARQ,2026-08-30 11:40:00,activepower,4471.35
B10_ARQ,2026-08-30 11:50:00,activepower,4713.1
B10_ARQ,2026-08-30 12:00:00,activepower,5194.1
B10_ARQ,2026-08-30 12:10:00,activepower,2721.0
B10_ARQ,2026-08-30 12:20:00,activepower,3598.55
B10_ARQ,2026-08-30 12:30:00,activepower,4216.4
B10_ARQ,2026-08-30 12:40:00,activepower,5820.5
B10_ARQ,2026-08-30 12:50:00,activepower,5768.0
B10_ARQ,2026-08-30 13:00:00,activepower,3616.8
B10_ARQ,2026-08-30 13:10:00,activepower,2725.35
B10_ARQ,2026-08-30 13:20:00,activepower,4136.9
B10_ARQ,2026-08-30 13:30:00,activepower,3133.5
B10_ARQ,2026-08-30 13:40:00,activepower,3614.45
B10_ARQ,2026-08-30 13:50:00,activepower,3530.85
B10_ARQ,2026-08-30 14:00:00,activepower,3966.1
B10_ARQ,2026-08-30 14:10:00,activepower,5275.5
B10_ARQ,2026-08-30 14:20:00,activepower,5363.75
B10_ARQ,2026-08-30 14:30:00,activepower,5214.8
B10_ARQ,2026-08-30 14:40:00,activepower,4742.3
B10_ARQ,2026-08-30 14:50:00,activepower,6332.1
B10_ARQ,2026-08-30 15:00:00,activepower,5535.3
B10_ARQ,2026-08-30 15:10:00,activepower,5853.85
B10_ARQ,2026-08-30 15:20:00,activepower,5845.5
B10_ARQ,2026-08-30 15:30:00,activepower,6352.85
B10_ARQ,2026-08-30 15:40:00,activepower,5791.5
B10_ARQ,2026-08-30 15:50:00,activepower,5527.8
B10_ARQ,2026-08-30 16:00:00,activepower,4973.200000000001
B10_ARQ,2026-08-30 16:10:00,activepower,6027.55
B10_ARQ,2026-08-30 16:20:00,activepower,5348.9
B10_ARQ,2026-08-30 16:30:00,activepower,5886.35
B10_ARQ,2026-08-30 16:40:00,activepower,6438.75
B10_ARQ,2026-08-30 16:50:00,activepower,6812.5
B10_ARQ,2026-08-30 17:00:00,activepower,6368.05
B10_ARQ,2026-08-30 17:10:00,activepower,7023.9
B10_ARQ,2026-08-30 17:20:00,activepower,6343.8
B10_ARQ,2026-08-30 17:30:00,activepower,6361.299999999999
B10_ARQ,2026-08-30 17:40:00,activepower,5867.5
B10_ARQ,2026-08-30 17:50:00,activepower,6910.0
B10_ARQ,2026-08-30 18:00:00,activepower,6613.549999999999
B10_ARQ,2026-08-30 18:10:00,activepower,6689.45
B10_ARQ,2026-08-30 18:20:00,activepower,6467.8
B10_ARQ,2026-08-30 18:30:00,activepower,6897.5
B10_ARQ,2026-08-30 18:40:00,activepower,6636.95
B10_ARQ,2026-08-30 18:50:00,activepower,6626.6
B10_ARQ,2026-08-30 19:00:00,activepower,6478.9
B10_ARQ,2026-08-30 19:10:00,activepower,6933.049999999999
B10_ARQ,2026-08-30 19:20:00,activepower,6735.3
B10_ARQ,2026-08-30 19:30:00,activepower,6541.049999999999
B10_ARQ,2026-08-30 19:40:00,activepower,6072.549999999999
B10_ARQ,2026-08-30 19:50:00,activepower,6445.3
B10_ARQ,2026-08-30 20:00:00,activepower,6793.5
B10_ARQ,2026-08-30 20:10:00,activepower,6497.950000000001
B10_ARQ,2026-08-30 20:20:00,activepower,6601.0
B10_ARQ,2026-08-30 20:30:00,activepower,6451.200000000001
B10_ARQ,2026-08-30 20:40:00,activepower,6982.1
B10_ARQ,2026-08-30 20:50:00,activepower,6499.0
B10_ARQ,2026-08-30 21:00:00,activepower,6728.2
B10_ARQ,2026-08-30 21:10:00,activepower,6496.65
B10_ARQ,2026-08-30 21:20:00,activepower,6773.8
B10_ARQ,2026-08-30 21:30:00,activepower,6562.5
B10_ARQ,2026-08-30 21:40:00,activepower,6605.25
B10_ARQ,2026-08-30 21:50:00,activepower,6410.0
B10_ARQ,2026-08-30 22:00:00,activepower,6516.25
B10_ARQ,2026-08-30 22:10:00,activepower,6480.45
B10_ARQ,2026-08-30 22:20:00,activepower,7258.0
B10_ARQ,2026-08-30 22:30:00,activepower,6880.65
B10_ARQ,2026-08-30 22:40:00,activepower,7001.65
B10_ARQ,2026-08-30 22:50:00,activepower,6962.2
B10_ARQ,2026-08-30 23:00:00,activepower,7148.35
B10_ARQ,2026-08-30 23:10:00,activepower,6476.200000000001
B10_ARQ,2026-08-30 23:20:00,activepower,7574.5
B10_ARQ,2026-08-30 23:30:00,activepower,6971.75
B10_ARQ,2026-08-30 23:40:00,activepower,7369.6
B10_ARQ,2026-08-30 23:50:00,activepower,6449.450000000001
B10_ARQ,2026-08-31 00:00:00,activepower,6847.75
B10_ARQ,2026-08-31 00:10:00,activepower,6928.85
B10_ARQ,2026-08-31 00:20:00,activepower,7457.3
