bloque,variable,pronosticos,WAPE_%,MAE,RMSE,n
B10_ARQ,activepower,91,55.36858565814591,6284.612527794524,9198.788005921748,13104
B10_ARQ,totalpowerfactor,91,4.358022868639498,0.04031615506333378,0.057309996853354396,13104
B10_ARQ,voltaje_promedio,91,0.8346067773865159,1.0398515428898498,1.3662698723231725,13104
B12_DERE,activepower,91,72.4215528269818,5465.976320345209,7033.661567539846,13104
B12_DERE,totalpowerfactor,91,25.116385836707643,0.1906221483117297,0.2627149792334538,13104
B12_DERE,voltaje_promedio,91,2.127089055528069,2.6028709689473826,2.779627971856538,13104
B15_BIBL,activepower,91,43.820420068453316,11601.306653868807,17521.979265230242,13104
B15_BIBL,totalpowerfactor,91,0.4409667119022137,0.004353360822655962,0.006536229696947853,13104
B15_BIBL,voltaje_promedio,91,0.4555196500239428,0.5617042968844407,0.7218508461059439,13104
B17_POLI,activepower,91,50.35919337748963,3662.359392137649,5089.124995908288,13104
B17_POLI,totalpowerfactor,91,5.841066346865893,0.0530413409326452,0.07144758456552397,13104
B17_POLI,voltaje_promedio,91,0.5377317532471161,0.6893702717189472,0.8917061938549847,13104
B18_PARQ,activepower,91,31.18576037368471,9624.902035257584,13267.96684910423,13104
B18_PARQ,totalpowerfactor,91,1.213838287609838,0.01190017482677141,0.01593973091063845,13104
B18_PARQ,voltaje_promedio,91,0.43005763796929813,0.5596591837112088,0.7053766459299955,13104
B3_RECT,activepower,91,41.4364099780423,2012.265768853757,3262.500751644997,13104
B3_RECT,totalpowerfactor,91,1.0217217982044724,0.010002488717035827,0.013106117390143782,13104
B3_RECT,voltaje_promedio,91,0.46130285315161657,0.5844619860332942,0.7435605674483763,13104
B4_PRIM,activepower,91,35.63373399434064,6942.125002161476,11368.099729782858,13104
B4_PRIM,totalpowerfactor,91,2.7674200326093032,0.026458766770462636,0.03655420132381675,13104
B4_PRIM,voltaje_promedio,91,0.474593594271055,0.6075319408702494,0.7813788488284877,13104
B5_BACH,activepower,91,34.53907805637962,8747.694322756002,15584.019435928652,13104
B5_BACH,totalpowerfactor,91,0.8274337330727265,0.008116664308073722,0.011380586307179573,13104
B5_BACH,voltaje_promedio,91,0.48497957405931535,0.6125898432134491,0.79836811677079,13104
B7_CTIC,activepower,91,8.989338758046202,3428.950015597615,4570.468620020911,13104
B7_CTIC,totalpowerfactor,91,0.355934890239537,0.0034941252715483457,0.004389516027134234,13104
B7_CTIC,voltaje_promedio,91,0.47684457170321726,0.5869954516007222,0.7501013699142263,13104
B7_TAC,activepower,91,41.515837101004635,6028.452754043596,9092.773313664105,13104
B7_TAC,totalpowerfactor,91,4.5677337549887165,0.03987005635517393,0.05593285846260631,13104
B7_TAC,voltaje_promedio,91,0.60869453114716,0.7575691148380272,0.996773826986663,13104
B8_AA,activepower,91,88.53640930687311,3659.9064060401815,5707.034011868431,13104
B8_AA,totalpowerfactor,91,6.147419319038677,0.04925577471496116,0.06906852690488599,13104
B8_AA,voltaje_promedio,91,0.4752930375716973,0.628847743687802,0.8109114437257926,13104
B8_CPA,activepower,91,117.12866435074443,150.12292151620855,205.7608104939438,13104
B8_CPA,totalpowerfactor,91,57.938618059001406,0.31723168288931175,0.4617249025982023,13104
B8_CPA,voltaje_promedio,91,0.5161992304155532,0.6487427515983338,0.8076457282883979,13104
B8_LABS,activepower,91,32.72666976479776,5442.47734912538,7690.081992797927,13104
B8_LABS,totalpowerfactor,91,3.8280565617197455,0.03565660726613116,0.048217107313453605,13104
B8_LABS,voltaje_promedio,91,0.46325635530590065,0.581771239971523,0.7498958772371722,13104
B9_SFA1,activepower,91,38.74625370984277,11860.287101429089,17483.806465368034,13104
B9_SFA1,totalpowerfactor,91,0.9708469202647612,0.009470183932665471,0.01408404372944747,13104
B9_SFA1,voltaje_promedio,91,0.5178583233790212,0.639517472154214,0.8073281237503562,13104
B9_SFA2,activepower,91,45.083057565388714,13637.1860572815,21379.29219302015,13104
B9_SFA2,totalpowerfactor,91,1.2404877980694358,0.011882139936884098,0.01704556083416377,13104
B9_SFA2,voltaje_promedio,91,0.49594404957561783,0.6219669385894109,0.8037643133865879,13104
ECOVILLA,activepower,91,78.62260632782515,653.0544863909284,1136.7018797159226,13104
ECOVILLA,totalpowerfactor,91,8.388805293876318,0.07041908450907249,0.09392192107807956,13104
ECOVILLA,voltaje_promedio,91,1.095074824653962,1.3836801259455374,2.1484741174463777,13104
